"","NACE1","NACE2","NACE3","NACE4","NACE.code","turnover","employees","turnover.prev","employees.prev"
"827","G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","47.9 - Retail trade not in stores, stalls or markets","47.9.9 - Other retail sale not in stores, stalls or markets","4799",28644.14645027,211,78092.3774257387,586
"834","H - Transporting and storage","49 - Land transport and transport via pipelines","49.1 - Passenger rail transport, interurban","49.1.0 - Passenger rail transport, interurban","4910",151193.316802245,1435,204801.960293729,2131
"836","H - Transporting and storage","49 - Land transport and transport via pipelines","49.2 - Freight rail transport","49.2.0 - Freight rail transport","4920",275152.967806968,1960,165471.646926591,1638
"838","H - Transporting and storage","49 - Land transport and transport via pipelines","49.3 - Other passenger land transport","49.3.1 - Urban and suburban passenger land transport","4931",49991.4805379078,1932,158372.637498655,4508
"839","H - Transporting and storage","49 - Land transport and transport via pipelines","49.3 - Other passenger land transport","49.3.2 - Taxi operation","4932",169702.827578317,4094,97483.8504414157,2613
"840","H - Transporting and storage","49 - Land transport and transport via pipelines","49.3 - Other passenger land transport","49.3.9 - Other passenger land transport n.e.c.","4939",178038.442443529,4712,211439.384948861,4661
"845","H - Transporting and storage","49 - Land transport and transport via pipelines","49.4 - Freight transport by road and removal services","49.4.1 - Freight transport by road","4941",624497.220541768,5308.26330981774,641442.19528937,5132.84160705476
"846","H - Transporting and storage","49 - Land transport and transport via pipelines","49.4 - Freight transport by road and removal services","49.4.2 - Removal services","4942",3456841.71165277,39269,2952443.70813284,27715
"848","H - Transporting and storage","49 - Land transport and transport via pipelines","49.5 - Transport via pipeline","49.5.0 - Transport via pipeline","4950",31059.4534475644,35,56513.8704697037,55
"851","H - Transporting and storage","50 - Water transport","50.1 - Sea and coastal passenger water transport","50.1.0 - Sea and coastal passenger water transport","5010",645871.961702721,6694.28655609731,651296.788654252,4796.47520865731
"853","H - Transporting and storage","50 - Water transport","50.2 - Sea and coastal freight water transport","50.2.0 - Sea and coastal freight water transport","5020",1249360.86435372,4709,674321.43513161,1798
"857","H - Transporting and storage","50 - Water transport","50.3 - Inland passenger water transport","50.3.0 - Inland passenger water transport","5030",630959.284119857,5761.02663337835,641287.583002505,5537.62124592938
"859","H - Transporting and storage","50 - Water transport","50.4 - Inland freight water transport","50.4.0 - Inland freight water transport","5040",218105.512398039,1698,155851.258837743,1160
"865","H - Transporting and storage","51 - Air transport","51.1 - Passenger air transport","51.1.0 - Passenger air transport","5110",1245816.84546076,6680,1843081.01307263,8637
"867","H - Transporting and storage","51 - Air transport","51.2 - Freight air transport and space transport","51.2.1 - Freight air transport","5121",1275831.78768018,6953,1083351.03185193,5828
"870","H - Transporting and storage","52 - Warehousing and support activities for transportation","52.1 - Warehousing and storage","52.1.0 - Warehousing and storage","5210",867431.14117298,6644,550625.274849499,4821
"875","H - Transporting and storage","52 - Warehousing and support activities for transportation","52.2 - Support activities for transportation","52.2.1 - Service activities incidental to land transportation","5221",93362.1032078384,1500,198037.66268132,2511
"876","H - Transporting and storage","52 - Warehousing and support activities for transportation","52.2 - Support activities for transportation","52.2.2 - Service activities incidental to water transportation","5222",99058.6864526136,647,216037.299984839,1249
"877","H - Transporting and storage","52 - Warehousing and support activities for transportation","52.2 - Support activities for transportation","52.2.3 - Service activities incidental to air transportation","5223",200164.605982676,1563,151988.278747985,1173
"878","H - Transporting and storage","52 - Warehousing and support activities for transportation","52.2 - Support activities for transportation","52.2.4 - Cargo handling","5224",906009.916211486,7456,249781.953536387,2326
"881","H - Transporting and storage","52 - Warehousing and support activities for transportation","52.2 - Support activities for transportation","52.2.9 - Other transportation support activities","5229",912238.347172283,4894,3539797.82522488,20351
"886","H - Transporting and storage","53 - Postal and courier activities","53.1 - Postal activities under universal service obligation","53.1.0 - Postal activities under universal service obligation","5310",1053485.74027983,21741,441043.227527805,7231
"888","H - Transporting and storage","53 - Postal and courier activities","53.2 - Other postal and courier activities","53.2.0 - Other postal and courier activities","5320",461401.487021226,4310,584066.670069898,5651
"894","I - Accommodation and food service activities","55 - Accommodation","55.1 - Hotels and similar accommodation","55.1.0 - Hotels and similar accommodation","5510",156071.091664691,2129,522743.331388452,8021
"898","I - Accommodation and food service activities","55 - Accommodation","55.2 - Holiday and other short-stay accommodation","55.2.0 - Holiday and other short-stay accommodation","5520",114312.414351987,1264,34688.230944374,311
"902","I - Accommodation and food service activities","55 - Accommodation","55.3 - Camping grounds, recreational vehicle parks and trailer parks","55.3.0 - Camping grounds, recreational vehicle parks and trailer parks","5530",10903.5848819636,148,25561.6056736856,427
"904","I - Accommodation and food service activities","55 - Accommodation","55.9 - Other accommodation","55.9.0 - Other accommodation","5590",55175.2993802301,524,32883.0825778436,283
"907","I - Accommodation and food service activities","56 - Food and beverage service activities","56.1 - Restaurants and mobile food service activities","56.1.0 - Restaurants and mobile food service activities","5610",137424.131753562,2449,125567.534162475,2308
"912","I - Accommodation and food service activities","56 - Food and beverage service activities","56.2 - Event catering and other food service activities","56.2.1 - Event catering activities","5621",42662.8616466632,883,50813.2853054989,828
"913","I - Accommodation and food service activities","56 - Food and beverage service activities","56.2 - Event catering and other food service activities","56.2.9 - Other food service activities","5629",426918.401060665,8784,182957.215584192,3661
"915","I - Accommodation and food service activities","56 - Food and beverage service activities","56.3 - Beverage serving activities","56.3.0 - Beverage serving activities","5630",42333.1826566831,846,40010.66880315,951
"919","J - Information and communication","58 - Publishing activities","58.1 - Publishing of books, periodicals and other publishing activities","58.1.1 - Book publishing","5811",268449.182987074,1841,436087.519772314,2471
"920","J - Information and communication","58 - Publishing activities","58.1 - Publishing of books, periodicals and other publishing activities","58.1.3 - Publishing of newspapers","5813",657627.313857368,5100,368453.42973653,2813
"921","J - Information and communication","58 - Publishing activities","58.1 - Publishing of books, periodicals and other publishing activities","58.1.4 - Publishing of journals and periodicals","5814",409192.953505061,1725,838881.055024148,3997
"922","J - Information and communication","58 - Publishing activities","58.1 - Publishing of books, periodicals and other publishing activities","58.1.9 - Other publishing activities","5819",2361.26096554241,25,3902.39374080837,34
"924","J - Information and communication","58 - Publishing activities","58.2 - Software publishing","58.2.1 - Publishing of computer games","5821",3820.10377398757,36,3661.25976489348,44
"925","J - Information and communication","58 - Publishing activities","58.2 - Software publishing","58.2.9 - Other software publishing","5829",1525.46223208126,16,5104.84810158354,53
"928","J - Information and communication","59 - Motion picture, video and television programme production, sound recording and music publishing activities","59.1 - Motion picture, video and television programme activities","59.1.1 - Motion picture, video and television programme production activities","5911",53207.3890467746,623,28371.3010787783,359
"931","J - Information and communication","59 - Motion picture, video and television programme production, sound recording and music publishing activities","59.1 - Motion picture, video and television programme activities","59.1.2 - Motion picture, video and television programme post-production activities","5912",452724.701659739,3183.1728417942,457991.666849421,2932.43504205751
"932","J - Information and communication","59 - Motion picture, video and television programme production, sound recording and music publishing activities","59.1 - Motion picture, video and television programme activities","59.1.3 - Motion picture, video and television programme distribution activities","5913",14858.6176677787,26,28038.6974441929,55
"933","J - Information and communication","59 - Motion picture, video and television programme production, sound recording and music publishing activities","59.1 - Motion picture, video and television programme activities","59.1.4 - Motion picture projection activities","5914",50134.7612692755,638,52019.5036629583,580
"935","J - Information and communication","59 - Motion picture, video and television programme production, sound recording and music publishing activities","59.2 - Sound recording and music publishing activities","59.2.0 - Sound recording and music publishing activities","5920",26078.7298130045,130,19607.1853336836,94
"938","J - Information and communication","60 - Programming and broadcasting activities","60.1 - Radio broadcasting","60.1.0 - Radio broadcasting","6010",186859.328931095,1736,352941.043916206,2663
"940","J - Information and communication","60 - Programming and broadcasting activities","60.2 - Television programming and broadcasting activities","60.2.0 - Television programming and broadcasting activities","6020",176066.580134974,1453,227466.527960235,1848
"943","J - Information and communication","61 - Telecommunications","61.1 - Wired telecommunications activities","61.1.0 - Wired telecommunications activities","6110",1224315.7039844,4336,1162405.96287046,4154
"945","J - Information and communication","61 - Telecommunications","61.2 - Wireless telecommunications activities","61.2.0 - Wireless telecommunications activities","6120",1594231.47217007,5184,1000745.61830755,4540
"947","J - Information and communication","61 - Telecommunications","61.3 - Satellite telecommunications activities","61.3.0 - Satellite telecommunications activities","6130",1476510.54330214,5316,2205927.46965729,7060
"949","J - Information and communication","61 - Telecommunications","61.9 - Other telecommunications activities","61.9.0 - Other telecommunications activities","6190",999700.340500187,3874,401449.816255999,1644
"952","J - Information and communication","62 - Computer programming, consultancy and related activities","62.0 - Computer programming, consultancy and related activities","62.0.1 - Computer programming activities","6201",1382025.67688307,14628,659484.65277554,6628
"953","J - Information and communication","62 - Computer programming, consultancy and related activities","62.0 - Computer programming, consultancy and related activities","62.0.2 - Computer consultancy activities","6202",1113583.50241595,15890,746877.079701489,11286
"954","J - Information and communication","62 - Computer programming, consultancy and related activities","62.0 - Computer programming, consultancy and related activities","62.0.3 - Computer facilities management activities","6203",169965.736532276,1014,57193.8295130335,406
"955","J - Information and communication","62 - Computer programming, consultancy and related activities","62.0 - Computer programming, consultancy and related activities","62.0.9 - Other information technology and computer service activities","6209",428869.286527347,5099,1153471.59876915,13401
"958","J - Information and communication","63 - Information service activities","63.1 - Data processing, hosting and related activities; web portals","63.1.1 - Data processing, hosting and related activities","6311",47750.3151734858,325,76910.9232218243,479
"959","J - Information and communication","63 - Information service activities","63.1 - Data processing, hosting and related activities; web portals","63.1.2 - Web portals","6312",36251.5468567597,282,47568.9628765391,236
"961","J - Information and communication","63 - Information service activities","News agency","News agency","6321",499195.274236001,3159.98475287118,473433.416445064,3122.45768356574
"962","J - Information and communication","63 - Information service activities","Other information service activities nec","Other information service activities nec","6329",474677.521512446,3202.59267321906,505498.070466384,2708.372926086
"966","K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding","64.1 - Monetary intermediation","64.1.1 - Central banking","6411",NA,NA,NA,NA
"967","K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding","64.1 - Monetary intermediation","64.1.9 - Other monetary intermediation","6419",NA,NA,NA,NA
"973","K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding","64.2 - Activities of holding companies","64.2.0 - Activities of holding companies","6420",NA,NA,NA,NA
"975","K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding","64.3 - Trusts, funds and similar financial entities","64.3.0 - Trusts, funds and similar financial entities","6430",NA,NA,NA,NA
"980","K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding","64.9 - Other financial service activities, except insurance and pension funding","64.9.1 - Financial leasing","6491",NA,NA,NA,NA
"981","K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding","64.9 - Other financial service activities, except insurance and pension funding","64.9.2 - Other credit granting","6492",NA,NA,NA,NA
"986","K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding","64.9 - Other financial service activities, except insurance and pension funding","64.9.9 - Other financial service activities, except insurance and pension funding n.e.c.","6499",NA,NA,NA,NA
"989","K - Financial and insurance activities","65 - Insurance, reinsurance and pension funding, except compulsory social security","65.1 - Insurance","65.1.1 - Life insurance","6511",NA,NA,NA,NA
"993","K - Financial and insurance activities","65 - Insurance, reinsurance and pension funding, except compulsory social security","65.1 - Insurance","65.1.2 - Non-life insurance","6512",NA,NA,NA,NA
"995","K - Financial and insurance activities","65 - Insurance, reinsurance and pension funding, except compulsory social security","65.2 - Reinsurance","65.2.0 - Reinsurance","6520",NA,NA,NA,NA
"997","K - Financial and insurance activities","65 - Insurance, reinsurance and pension funding, except compulsory social security","65.3 - Pension funding","65.3.0 - Pension funding","6530",NA,NA,NA,NA
"1004","K - Financial and insurance activities","66 - Activities auxiliary to financial services and insurance activities","66.1 - Activities auxiliary to financial services, except insurance and pension funding","66.1.1 - Administration of financial markets","6611",NA,NA,NA,NA
"1005","K - Financial and insurance activities","66 - Activities auxiliary to financial services and insurance activities","66.1 - Activities auxiliary to financial services, except insurance and pension funding","66.1.2 - Security and commodity contracts brokerage","6612",NA,NA,NA,NA
"1006","K - Financial and insurance activities","66 - Activities auxiliary to financial services and insurance activities","66.1 - Activities auxiliary to financial services, except insurance and pension funding","66.1.9 - Other activities auxiliary to financial services, except insurance and pension funding","6619",NA,NA,NA,NA
"1011","K - Financial and insurance activities","66 - Activities auxiliary to financial services and insurance activities","66.2 - Activities auxiliary to insurance and pension funding","66.2.1 - Risk and damage evaluation","6621",NA,NA,NA,NA
"1012","K - Financial and insurance activities","66 - Activities auxiliary to financial services and insurance activities","66.2 - Activities auxiliary to insurance and pension funding","66.2.2 - Activities of insurance agents and brokers","6622",NA,NA,NA,NA
"1013","K - Financial and insurance activities","66 - Activities auxiliary to financial services and insurance activities","66.2 - Activities auxiliary to insurance and pension funding","66.2.9 - Other activities auxiliary to insurance and pension funding","6629",NA,NA,NA,NA
"1019","K - Financial and insurance activities","66 - Activities auxiliary to financial services and insurance activities","66.3 - Fund management activities","66.3.0 - Fund management activities","6630",NA,NA,NA,NA
"1023","L - Real estate activities","68 - Real estate activities","68.1 - Buying and selling of own real estate","68.1.0 - Buying and selling of own real estate","6810",NA,NA,NA,NA
"1025","L - Real estate activities","68 - Real estate activities","68.2 - Renting and operating of own or leased real estate","68.2.0 - Renting and operating of own or leased real estate","6820",NA,NA,NA,NA
"1031","L - Real estate activities","68 - Real estate activities","68.3 - Real estate activities on a fee or contract basis","68.3.1 - Real estate agencies","6831",NA,NA,NA,NA
"1032","L - Real estate activities","68 - Real estate activities","68.3 - Real estate activities on a fee or contract basis","68.3.2 - Management of real estate on a fee or contract basis","6832",NA,NA,NA,NA
"1036","M - Professional, scientific and technical activities","69 - Legal and accounting activities","69.1 - Legal activities","69.1.0 - Legal activities","6910",349231.758179554,3924,364151.097513931,4889
"1043","M - Professional, scientific and technical activities","69 - Legal and accounting activities","69.2 - Accounting, bookkeeping and auditing activities; tax consultancy","69.2.0 - Accounting, bookkeeping and auditing activities; tax consultancy","6920",1104882.61068545,16866,1583427.17515514,20386
"1051","M - Professional, scientific and technical activities","70 - Activities of head offices; management consultancy activities","70.1 - Activities of head offices","70.1.0 - Activities of head offices","7010",365170.640352208,4375.86504238653,378585.078016588,4658.15356296545
"1055","M - Professional, scientific and technical activities","70 - Activities of head offices; management consultancy activities","70.2 - Management consultancy activities","70.2.1 - Public relations and communication activities","7021",355060.526574757,4082.068061746,403415.861353607,4408.82098672554
"1056","M - Professional, scientific and technical activities","70 - Activities of head offices; management consultancy activities","70.2 - Management consultancy activities","70.2.2 - Business and other management consultancy activities","7022",1056959.80499601,9997,881456.427386308,8098
"1061","M - Professional, scientific and technical activities","71 - Architectural and engineering activities; technical testing and analysis","71.1 - Architectural and engineering activities and related technical consultancy","71.1.1 - Architectural activities","7111",790654.85701801,9368,526396.658452551,7113
"1062","M - Professional, scientific and technical activities","71 - Architectural and engineering activities; technical testing and analysis","71.1 - Architectural and engineering activities and related technical consultancy","71.1.2 - Engineering activities and related technical consultancy","7112",590790.842013987,9130,729299.25732076,7273
"1064","M - Professional, scientific and technical activities","71 - Architectural and engineering activities; technical testing and analysis","71.2 - Technical testing and analysis","71.2.0 - Technical testing and analysis","7120",220303.309197949,3174,219638.893045883,3143
"1070","M - Professional, scientific and technical activities","72 - Scientific research and development","72.1 - Research and experimental development on natural sciences and engineering","72.1.1 - Research and experimental development on biotechnology","7211",155926.518349213,1993,273924.055187109,4187
"1074","M - Professional, scientific and technical activities","72 - Scientific research and development","72.1 - Research and experimental development on natural sciences and engineering","72.1.9 - Other research and experimental development on natural sciences and engineering","7219",105182.665259439,1696,161501.348748014,2708
"1080","M - Professional, scientific and technical activities","72 - Scientific research and development","72.2 - Research and experimental development on social sciences and humanities","72.2.0 - Research and experimental development on social sciences and humanities","7220",115955.615940367,1296,120247.32763248,1683
"1083","M - Professional, scientific and technical activities","73 - Advertising and market research","73.1 - Advertising","73.1.1 - Advertising agencies","7311",576338.882144591,2500,948876.078283828,3865
"1084","M - Professional, scientific and technical activities","73 - Advertising and market research","73.1 - Advertising","73.1.2 - Media representation","7312",401933.29499858,4629.00334351595,433726.699587761,5108.49877094923
"1086","M - Professional, scientific and technical activities","73 - Advertising and market research","73.2 - Market research and public opinion polling","73.2.0 - Market research and public opinion polling","7320",177584.957458409,2430,127480.417935144,1775
"1089","M - Professional, scientific and technical activities","74 - Other professional, scientific and technical activities","74.1 - Specialised design activities","74.1.0 - Specialised design activities","7410",447710.964582948,5594.50019333391,512242.102747323,6008.82804961549
"1091","M - Professional, scientific and technical activities","74 - Other professional, scientific and technical activities","74.2 - Photographic activities","74.2.0 - Photographic activities","7420",14335.6618544125,226,13198.5754509808,171
"1096","M - Professional, scientific and technical activities","74 - Other professional, scientific and technical activities","74.3 - Translation and interpretation activities","74.3.0 - Translation and interpretation activities","7430",18978.7624825669,207,17240.0869488544,210
"1098","M - Professional, scientific and technical activities","74 - Other professional, scientific and technical activities","74.9 - Other professional, scientific and technical activities n.e.c.","74.9.0 - Other professional, scientific and technical activities n.e.c.","7490",376873.043349115,4075.25801615037,455103.324786823,4783.06388962066
"1101","M - Professional, scientific and technical activities","75 - Veterinary activities","75.0 - Veterinary activities","75.0.0 - Veterinary activities","7500",414366.896081972,4833.30739544633,452079.148374516,5076.35355959086
"1105","N - Administrative and support service activities","77 - Rental and leasing activities","77.1 - Renting and leasing of motor vehicles","77.1.1 - Renting and leasing of cars and light motor vehicles","7711",973499.94339471,1390,458141.855887478,798
"1108","N - Administrative and support service activities","77 - Rental and leasing activities","77.1 - Renting and leasing of motor vehicles","77.1.2 - Renting and leasing of trucks","7712",22716.221150637,84,26610.8972669614,119
"1110","N - Administrative and support service activities","77 - Rental and leasing activities","77.2 - Renting and leasing of personal and household goods","77.2.1 - Renting and leasing of recreational and sports goods","7721",274640.779426424,2647.54989554844,235172.314758594,3001.24880036853
"1111","N - Administrative and support service activities","77 - Rental and leasing activities","77.2 - Renting and leasing of personal and household goods","77.2.2 - Renting of video tapes and disks","7722",118811.295829855,1119,70083.2817999025,720
"1112","N - Administrative and support service activities","77 - Rental and leasing activities","77.2 - Renting and leasing of personal and household goods","77.2.9 - Renting and leasing of other personal and household goods","7729",310962.100926611,3087.13758647538,276981.265464167,3547.11190159475
"1117","N - Administrative and support service activities","77 - Rental and leasing activities","77.3 - Renting and leasing of other machinery, equipment and tangible goods","77.3.1 - Renting and leasing of agricultural machinery and equipment","7731",1610.1461942515,19,1391.12206504609,21
"1118","N - Administrative and support service activities","77 - Rental and leasing activities","77.3 - Renting and leasing of other machinery, equipment and tangible goods","77.3.2 - Renting and leasing of construction and civil engineering machinery and equipment","7732",110509.002487349,970,85499.5002761627,761
"1119","N - Administrative and support service activities","77 - Rental and leasing activities","77.3 - Renting and leasing of other machinery, equipment and tangible goods","77.3.3 - Renting and leasing of office machinery and equipment (including computers)","7733",33996.337595768,299,18726.7560777401,136
"1120","N - Administrative and support service activities","77 - Rental and leasing activities","77.3 - Renting and leasing of other machinery, equipment and tangible goods","77.3.4 - Renting and leasing of water transport equipment","7734",796.903855171197,7,1369.50876341593,12
"1121","N - Administrative and support service activities","77 - Rental and leasing activities","77.3 - Renting and leasing of other machinery, equipment and tangible goods","77.3.5 - Renting and leasing of air transport equipment","7735",38031.8794548419,21,21990.6170410325,12
"1122","N - Administrative and support service activities","77 - Rental and leasing activities","77.3 - Renting and leasing of other machinery, equipment and tangible goods","77.3.9 - Renting and leasing of other machinery, equipment and tangible goods n.e.c.","7739",65376.5529737808,290,99005.8240520501,445
"1126","N - Administrative and support service activities","77 - Rental and leasing activities","77.4 - Leasing of intellectual property and similar products, except copyrighted works","77.4.0 - Leasing of intellectual property and similar products, except copyrighted works","7740",275035.923649877,2865.84867696817,256755.410104448,3264.60010462859
"1129","N - Administrative and support service activities","78 - Employment activities","78.1 - Activities of employment placement agencies","78.1.0 - Activities of employment placement agencies","7810",317793.367065699,3118.21270701866,293234.13913102,4002.16373897189
"1131","N - Administrative and support service activities","78 - Employment activities","78.2 - Temporary employment agency activities","78.2.0 - Temporary employment agency activities","7820",2860776.830115,10389,1480500.13234281,6996
"1136","N - Administrative and support service activities","78 - Employment activities","78.3 - Other human resources provision","78.3.0 - Other human resources provision","7830",277463.263611749,2748.65388967834,238597.468140817,3315.13402191498
"1139","N - Administrative and support service activities","79 - Travel agency, tour operator and other reservation service and related activities","79.1 - Travel agency and tour operator activities","79.1.1 - Travel agency activities","7911",248381.615967384,2456.21755956869,221094.124081761,2698.57444334752
"1140","N - Administrative and support service activities","79 - Travel agency, tour operator and other reservation service and related activities","79.1 - Travel agency and tour operator activities","79.1.2 - Tour operator activities","7912",329349.902261191,1885,703673.481088652,2824
"1142","N - Administrative and support service activities","79 - Travel agency, tour operator and other reservation service and related activities","79.9 - Other reservation service and related activities","79.9.0 - Other reservation service and related activities","7990",333979.569668216,3233.9258024922,317078.838302375,3708.87659647923
"1145","N - Administrative and support service activities","80 - Security and investigation activities","80.1 - Private security activities","80.1.0 - Private security activities","8010",65700.4254819775,1806,55390.8719422271,1826
"1147","N - Administrative and support service activities","80 - Security and investigation activities","80.2 - Security systems service activities","80.2.0 - Security systems service activities","8020",61768.0205433331,1988,207692.116043854,6516
"1149","N - Administrative and support service activities","80 - Security and investigation activities","80.3 - Investigation activities","80.3.0 - Investigation activities","8030",181350.985163267,5553,115465.218974753,3739
"1152","N - Administrative and support service activities","81 - Services to buildings and landscape activities","81.1 - Combined facilities support activities","81.1.0 - Combined facilities support activities","8110",305046.628453732,3063.18705233608,293161.608912578,3614.16400702745
"1154","N - Administrative and support service activities","81 - Services to buildings and landscape activities","81.2 - Cleaning activities","81.2.1 - General cleaning of buildings","8121",272027.232522415,10796,404100.916934455,15828
"1155","N - Administrative and support service activities","81 - Services to buildings and landscape activities","81.2 - Cleaning activities","81.2.2 - Other building and industrial cleaning activities","8122",361052.655567019,14528,306134.294313417,11587
"1156","N - Administrative and support service activities","81 - Services to buildings and landscape activities","81.2 - Cleaning activities","81.2.9 - Other cleaning activities","8129",267798.823818687,2862.59418666519,240193.336430475,2997.21278168439
"1158","N - Administrative and support service activities","81 - Services to buildings and landscape activities","81.3 - Landscape service activities","81.3.0 - Landscape service activities","8130",440044.170197447,7517,277552.683946163,4395
"1161","N - Administrative and support service activities","82 - Office administrative, office support and other business support activities","82.1 - Office administrative and support activities","82.1.1 - Combined office administrative service activities","8211",21411.2624797873,251,16498.1363157874,247
"1162","N - Administrative and support service activities","82 - Office administrative, office support and other business support activities","82.1 - Office administrative and support activities","82.1.9 - Photocopying, document preparation and other specialised office support activities","8219",27289.4703814417,335,7895.94497716792,124
"1164","N - Administrative and support service activities","82 - Office administrative, office support and other business support activities","82.2 - Activities of call centres","82.2.0 - Activities of call centres","8220",46426.9289853275,1693,41677.2252543699,1360
"1166","N - Administrative and support service activities","82 - Office administrative, office support and other business support activities","82.3 - Organisation of conventions and trade shows","82.3.0 - Organisation of conventions and trade shows","8230",286144.98548778,2895.73591585191,269750.411940363,3445.01559376223
"1168","N - Administrative and support service activities","82 - Office administrative, office support and other business support activities","82.9 - Business support service activities n.e.c.","82.9.1 - Activities of collection agencies and credit bureaus","8291",255258.241867146,2390,1370458.49091448,13439
"1169","N - Administrative and support service activities","82 - Office administrative, office support and other business support activities","82.9 - Business support service activities n.e.c.","82.9.2 - Packaging activities","8292",149059.691617424,2249,48243.8143055611,833
"1170","N - Administrative and support service activities","82 - Office administrative, office support and other business support activities","82.9 - Business support service activities n.e.c.","82.9.9 - Other business support service activities n.e.c.","8299",310237.895287726,3378.85352175418,291399.001562477,3719.94590414586
"1177","O - Public administration and defence; compulsory social security","84 - Public administration and defence; compulsory social security","84.1 - Administration of the State and the economic and social policy of the community","84.1.1 - General public administration activities","8411",NA,NA,NA,NA
"1178","O - Public administration and defence; compulsory social security","84 - Public administration and defence; compulsory social security","84.1 - Administration of the State and the economic and social policy of the community","84.1.2 - Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security","8412",NA,NA,NA,NA
"1179","O - Public administration and defence; compulsory social security","84 - Public administration and defence; compulsory social security","84.1 - Administration of the State and the economic and social policy of the community","84.1.3 - Regulation of and contribution to more efficient operation of businesses","8413",NA,NA,NA,NA
"1181","O - Public administration and defence; compulsory social security","84 - Public administration and defence; compulsory social security","84.2 - Provision of services to the community as a whole","84.2.1 - Foreign affairs","8421",NA,NA,NA,NA
"1182","O - Public administration and defence; compulsory social security","84 - Public administration and defence; compulsory social security","84.2 - Provision of services to the community as a whole","84.2.2 - Defence activities","8422",NA,NA,NA,NA
"1183","O - Public administration and defence; compulsory social security","84 - Public administration and defence; compulsory social security","84.2 - Provision of services to the community as a whole","84.2.3 - Justice and judicial activities","8423",NA,NA,NA,NA
"1186","O - Public administration and defence; compulsory social security","84 - Public administration and defence; compulsory social security","84.2 - Provision of services to the community as a whole","84.2.4 - Public order and safety activities","8424",NA,NA,NA,NA
"1187","O - Public administration and defence; compulsory social security","84 - Public administration and defence; compulsory social security","84.2 - Provision of services to the community as a whole","84.2.5 - Fire service activities","8425",NA,NA,NA,NA
"1189","O - Public administration and defence; compulsory social security","84 - Public administration and defence; compulsory social security","84.3 - Compulsory social security activities","84.3.0 - Compulsory social security activities","8430",NA,NA,NA,NA
"1193","P - Education","85 - Education","85.2 - Primary education","85.2.0 - Primary education","8520",NA,NA,NA,NA
"1198","P - Education","85 - Education","85.3 - Secondary education","85.3.1 - General secondary education","8531",NA,NA,NA,NA
"1203","P - Education","85 - Education","85.3 - Secondary education","85.3.2 - Technical and vocational secondary education","8532",NA,NA,NA,NA
"1208","P - Education","85 - Education","85.4 - Higher education","85.4.1 - Post-secondary non-tertiary education","8541",NA,NA,NA,NA
"1209","P - Education","85 - Education","85.4 - Higher education","85.4.2 - Tertiary education","8542",NA,NA,NA,NA
"1211","P - Education","85 - Education","85.5 - Other education","85.5.1 - Sports and recreation education","8551",NA,NA,NA,NA
"1214","P - Education","85 - Education","85.5 - Other education","85.5.2 - Cultural education","8552",NA,NA,NA,NA
"1217","P - Education","85 - Education","85.5 - Other education","85.5.3 - Driving school activities","8553",NA,NA,NA,NA
"1218","P - Education","85 - Education","85.5 - Other education","85.5.9 - Other education n.e.c.","8559",NA,NA,NA,NA
"1223","P - Education","85 - Education","85.6 - Educational support activities","85.6.0 - Educational support activities","8560",NA,NA,NA,NA
"1227","Q - Human health and social work activities","86 - Human health activities","86.1 - Hospital activities","86.1.0 - Hospital activities","8610",NA,NA,NA,NA
"1233","Q - Human health and social work activities","86 - Human health activities","86.2 - Medical and dental practice activities","86.2.1 - General medical practice activities","8621",NA,NA,NA,NA
"1234","Q - Human health and social work activities","86 - Human health activities","86.2 - Medical and dental practice activities","86.2.2 - Specialist medical practice activities","8622",NA,NA,NA,NA
"1237","Q - Human health and social work activities","86 - Human health activities","86.2 - Medical and dental practice activities","86.2.3 - Dental practice activities","8623",NA,NA,NA,NA
"1241","Q - Human health and social work activities","86 - Human health activities","86.9 - Other human health activities","Practices of midwives and paramedics","8691",NA,NA,NA,NA
"1246","Q - Human health and social work activities","86 - Human health activities","86.9 - Other human health activities","Other healthcare providers without lodging and health supporting","8692",NA,NA,NA,NA
"1255","Q - Human health and social work activities","87 - Residential care activities","87.1 - Residential nursing care activities","87.1.0 - Residential nursing care activities","8710",NA,NA,NA,NA
"1257","Q - Human health and social work activities","87 - Residential care activities","87.2 - Residential care activities for mental retardation, mental health and substance abuse","87.2.0 - Residential care activities for mental retardation, mental health and substance abuse","8720",NA,NA,NA,NA
"1259","Q - Human health and social work activities","87 - Residential care activities","87.3 - Residential care activities for the elderly and disabled","87.3.0 - Residential care activities for the elderly and disabled","8730",NA,NA,NA,NA
"1263","Q - Human health and social work activities","87 - Residential care activities","87.9 - Other residential care activities","87.9.0 - Other residential care activities","8790",NA,NA,NA,NA
